feature1,feature2
-1.3874756,9.673848
9.7033205,-7.3412733
-2.1543787,-7.5091786
-1.7473346,-0.5528526
-6.4847074,1.6297771
-4.168428,-5.9615035
-9.233439,1.8878194
-8.552898,-4.7804084
0.7399662,-10.422296
-7.38143,1.7074265
0.41069221,-12.448386
-5.375861,-9.998143
-8.475455,-9.554245
9.81258,5.5033264
-1.1415687,1.900716
11.931296,2.9019976
-5.0051804,11.923118
-10.272142,-2.2378087
-4.9867,2.4899974
-4.7223253,2.7504075
1.0176657,-3.5323188
-9.297803,5.6694875
2.006807,-4.001203
12.149205,-1.9252948
-9.503966,8.529951
5.043173,0.14924008
-6.4957185,9.302857
4.6104565,-3.1342952
-0.49992168,9.865632
2.0990515,-4.967004
1.6589514,-6.8634543
7.3125844,0.6354171
2.3646955,-12.486408
-3.9381049,2.5279462
4.816613,9.8910475
7.3904586,-6.385583
6.02699,-10.10615
7.396778,0.11871342
2.76111,1.0037817
10.087654,1.4064288
5.941786,-9.6355095
-1.501842,-2.617709
9.446813,6.73008
-5.8805184,-5.419793
-1.4272377,2.3193
-5.7487297,-11.420294
6.4186244,-1.4779294
2.772614,-3.2135365
-5.088877,-9.396135
10.465313,7.932008
2.553026,0.99484855
-4.590244,-5.1415772
8.4785185,3.5549026
-1.2829239,4.817794
-1.5222667,-3.1296492
-1.1771368,-2.2406178
10.667914,-1.5971591
-1.1281024,1.2992661
-7.8075895,-2.455016
5.9147973,8.892786
10.203081,8.58852
-6.999433,-1.1892327
-2.146497,-7.3356214
-2.379613,5.394462
0.57692814,-0.95891947
8.63695,4.0647783
-8.955071,-4.1197543
-10.154019,-5.978839
-6.670874,-3.8718677
-2.2286494,-6.0464883
-10.8438835,3.7712195
1.8786063,5.7624135
7.286313,1.3405256
-9.138451,0.5475991
4.597503,5.436173
-7.720886,0.6719147
-6.693322,11.052944
0.8938377,-4.5831304
-1.6398685,-6.7836027
3.552441,-4.0531416
2.4337454,-5.7951713
2.749327,3.6991923
9.807643,-7.093987
0.80390453,-1.4282092
5.19656,-8.142564
3.968665,3.6662552
4.6900706,6.8555555
-1.2866498,-11.17956
-0.27430508,7.130494
-3.5231955,0.87972224
-5.303817,7.81191
-4.689174,-4.463874
8.730759,4.1794987
7.442548,-1.3146614
-11.191748,3.601595
8.363932,-6.0218954
4.6473308,-4.5523906
1.5139589,-2.8323388
-9.780194,-8.55352
3.6411505,-8.133081
9.754658,-7.278673
-10.173948,-7.416341
-10.822771,-8.506513
-8.176806,4.276215
10.180705,2.7999136
-5.4176316,7.533403
12.685946,4.822007
1.6896579,-3.438036
-4.7036424,2.678644
13.380024,1.5338246
7.5290923,-4.3981733
-2.5174615,0.59811383
3.0503483,7.2292595
-5.83545,-7.01874
3.5253046,1.7636636
-5.942726,-4.526863
-1.9431947,13.528435
1.9714677,0.95410246
-11.285359,6.094601
-8.165572,-4.8101063
-4.58069,-5.6305532
4.655665,-4.773458
-0.47744492,1.8447844
6.6528144,0.5822082
-7.502982,-1.0723841
9.97855,3.2284095
-4.9920077,-2.484681
-4.1140943,-6.140534
-1.9550469,-6.2232537
2.679677,4.0479646
-10.662204,-2.3694534
0.7112802,-2.8730137
-1.0566217,0.89575315
-4.28116,-11.357425
-7.744417,7.4248815
0.24506524,-0.57918495
-5.7311,-8.932742
-6.1366606,4.7642603
4.87982,6.6173363
-4.737469,-3.0475345
2.6442552,2.6814597
12.264362,5.4243007
11.7730665,-0.15584093
-10.698811,-2.2622101
-6.74009,-1.4200525
-7.8250217,8.937468
9.605775,0.78747827
-6.4641104,4.3952055
1.7391793,-3.8420072
-7.625906,1.755083
-9.692316,-10.981537
10.286972,-0.23281263
0.6906177,-1.1664191
-1.944171,9.511424
13.310906,-2.7417934
1.6599643,-3.3351424
7.1736674,10.676807
12.2674,-5.0415173
-3.9181828,-9.927193
-4.571281,10.769967
-11.518125,-3.6322021
-0.43294084,1.1865546
-9.663675,-3.348825
-8.2325945,4.0678287
-0.93367815,3.589217
-10.438369,-2.1504292
5.913275,1.0122241
0.57680374,-7.717273
1.0750053,1.1112304
-5.1469636,2.4152641
-2.607362,-4.558503
-5.27868,-4.395218
-11.3826685,-1.4598197
-9.076951,-6.6464667
-1.7955939,-9.234162
0.23890352,2.6630244
-0.9087332,-5.4398756
4.73726,-2.396056
-2.6622834,13.212656
2.5457156,-5.859935
-5.025864,-1.2473323
-2.2200677,7.3398056
7.470916,-1.357797
4.3815117,-3.0637443
5.181517,-8.46617
-9.838735,-3.0902402
3.9536135,-3.3318224
-7.2498064,-3.2812104
6.181196,4.7078347
0.9326392,-13.210169
-5.6024446,8.846498
1.4024704,-4.547886
-7.8708754,0.5376031
3.9542897,-1.3606215
0.6101428,-4.3999424
-5.1583514,-0.22261226
-6.839937,-2.3275173
-3.4248264,-1.8723425
-5.8227,-4.7697167
-2.4682055,0.3118128
-2.335989,-3.4393246
-5.8214836,-4.5771766
-4.8932524,-9.773761
0.8147219,5.0278583
-4.8690877,-2.3787963
-10.780705,-6.230658
-5.884105,2.8352904
5.6070933,1.8173923
-1.1965748,-1.7242643
2.227936,-7.4858294
-0.88566023,3.4807665
1.7906868,-0.5349126
-3.8900404,3.9937534
-9.248656,-1.106709
-7.207764,-10.44894
-4.0061817,-6.994157
0.9751644,-13.142176
-4.3380117,-7.4475017
0.8090183,7.8911886
-9.349894,-11.122969
0.09758758,7.144757
-0.7818787,0.81882566
-5.019844,-2.4027088
6.899028,1.783824
-8.2961445,1.8521321
1.3374696,12.517502
-0.2559519,-8.81972
10.87482,0.9231271
-1.1128467,13.343438
-3.781634,0.71348166
5.262054,-7.0179906
-4.7703314,2.5987978
13.763426,1.2095333
-2.230339,-2.0902095
0.35147065,-4.2205725
0.6444532,-3.3346107
0.63844997,-1.053669
-10.373766,-1.7335504
-5.2443275,-0.3500367
-6.3220263,-10.435399
-2.1351397,-7.539879
2.4240654,-11.147081
1.4569505,-1.8001028
0.835611,-3.7068613
6.9642067,-2.0940185
-9.520024,-8.143175
-5.1369147,-0.11889293
1.3511416,-1.3293128
-3.8887858,0.45207715
4.517883,0.48538786
-6.267011,2.5513515
4.7810564,-9.333255
-4.9621534,-2.6613605
-4.0246005,2.8569188
-7.6547422,-1.7670492
-5.0188236,-5.9187145
6.757912,5.649067
7.1746945,-5.586064
12.203006,5.708167
4.2904315,-1.5946738
1.5825914,-10.941884
10.62302,-0.27617693
-7.5607224,-11.165272
4.4496427,-1.8588395
-2.5907521,-4.533298
11.108751,2.051008
-6.550021,10.937359
-4.0760016,-6.797502
7.0602403,-2.3471327
10.568703,-5.901113
-2.1782465,-7.252908
1.381424,1.5840605
7.6546383,-0.5942416
-4.47252,-6.7632365
10.06212,-5.2232003
-8.65455,-4.7711296
7.1821613,-5.7012677
-8.209828,-9.750734
-9.767498,-9.000548
-9.835556,-8.478376
12.683151,4.011904
-7.0136633,-1.2829723
6.122182,-10.09745
8.51758,10.042454
13.910003,-1.9953289
4.4463544,7.6688576
11.055524,-5.9941587
-1.2779229,-7.923067
-4.931906,12.109189
8.881223,-1.8069491
4.5294614,-6.393343
10.653584,-6.9754705
-1.7697906,-9.623967
12.937173,0.22894967
-8.436328,8.948255
-5.0104504,-2.5158055
7.126769,0.5563173
10.247898,4.1732497
-7.2961574,-3.5313327
7.309503,6.313665
1.6092266,-11.072986
-6.0726466,-10.289355
-4.530428,-11.40119
12.014292,-2.938783
0.12473191,2.5409653
-3.320193,8.674902
-4.108141,-9.116452
1.1233165,12.744084
-5.2270503,2.5353115
6.226669,-1.2086728
1.1445271,1.0277386
4.5491877,0.32023308
2.4449604,-10.346301
-5.7552004,-11.668192
-9.512866,0.41967615
-2.1447845,-7.492182
-10.208903,-8.978093
2.4652684,-5.877393
-2.4618666,12.107967
10.0924635,1.0231869
-3.8260193,-9.375048
2.100897,-4.4125557
0.71242666,-8.8139925
-3.7310758,-9.814323
-12.042158,-3.4391994
-0.07958597,2.3079808
7.0174093,4.979059
3.3111203,8.334647
-10.732113,-6.492717
10.005593,8.9840765
-9.12679,-1.8627825
1.1194875,-1.8364635
5.8972526,0.26859996
-6.7019367,1.6827326
-2.2366197,-4.439535
-4.6602154,2.6294417
8.233838,-7.3761272
7.792873,-4.899566
-4.6551313,-6.6941347
-1.0043771,1.2717724
-3.6220503,-9.329975
-6.156091,1.7223608
-3.7615626,-0.6683727
-5.0175266,-1.3326834
-9.171174,4.353969
1.0559508,-12.708912
6.4830284,10.909228
-0.59615463,1.404032
5.4181166,10.042715
7.4089417,-0.08463024
-3.4870126,0.89652145
-3.6774082,-9.051646
4.300765,3.9319253
-1.1658568,-1.8518916
8.664663,-2.952278
-10.132645,7.8673086
-9.24234,5.9058485
-0.84097826,-7.165618
-2.167241,-7.429365
0.8678239,-4.568014
0.2573881,-0.5927366
-9.477773,6.996116
12.319479,-0.5771055
-5.368471,2.2587316
2.7782893,-0.6096019
11.641737,-6.246328
6.609292,-8.902755
-10.688564,-7.0720897
-7.3199153,1.6848725
3.9699082,-5.4654408
-7.9526916,-10.100291
-5.9517603,-4.7131305
5.717043,9.455401
12.305971,-5.2193203
-11.445324,-1.3261194
5.0836473,7.6144776
-11.883903,-4.476472
7.4691205,-0.17834906
-10.091042,3.8763418
-5.479869,-4.854962
-2.0828154,-0.40273714
-4.632877,-4.201374
-9.692415,-6.7540665
3.8554697,-5.657363
1.6930516,-3.2188275
5.0624266,11.184922
-4.825539,-2.5771008
-1.1772339,2.4744658
5.413879,-4.354684
9.790526,3.0502825
3.3656511,8.419738
5.9759893,3.052794
7.578486,-6.700821
9.368007,-5.0020285
-0.8469554,1.2111403
-0.3462155,-11.021271
11.30649,-4.66155
10.420669,4.240952
5.082766,2.5392504
-3.2846973,4.4839964
0.45087394,-4.179041
6.374571,11.177865
7.326448,1.0396857
1.5161698,-9.063848
7.4815354,-4.392224
13.461104,1.8747116
-11.159885,3.7022812
-2.2552297,-2.0608697
3.0755544,-6.6949096
-9.038393,-9.143834
-0.84079945,-6.10125
4.6224318,11.636647
-9.207453,0.51450884
-2.1707704,-7.1625957
-2.1023483,-1.11732
0.7898642,-3.7202444
-0.66392684,1.6586963
4.7015195,-6.246916
-12.110239,-2.3037074
