feature1,feature2
-5.3505836,-5.4714603
-4.0953794,6.8730392
3.765217,3.161977
-6.6845284,-4.351793
0.5116257,-3.722153
8.402193,7.2795057
4.189169,-3.5025907
-4.5042295,-1.1180261
-2.2182646,-6.755331
4.783628,-3.2580698
-4.6878424,-5.295423
6.721196,-0.49799892
5.6446915,-0.63264644
-7.9313974,-0.71407425
0.5637388,5.8772597
-2.8837292,3.3446386
-0.5380976,-9.371225
-0.86955726,-1.3415554
4.4118524,7.575199
4.3313427,7.6983747
6.632006,6.969394
2.5052469,-6.9032855
2.6280932,8.311003
-4.78594,4.732616
4.800905,-4.802984
-9.468152,2.013945
3.6954815,-5.3426924
0.87730205,7.7397585
-0.9643357,-2.5891113
2.8444538,7.995185
5.9992075,-0.86129797
-2.2784317,6.230372
3.0886462,1.9769163
4.710928,8.887712
-9.299009,-2.720026
-0.8610477,9.942935
3.3280597,4.9755783
-2.5574014,7.11485
2.8449216,10.416999
-7.236608,0.41406465
0.57529503,2.615431
-5.165724,1.5620171
-9.627316,-2.4270961
4.9549265,4.4734464
-1.8271977,1.40125
11.001296,2.8116493
-6.4838443,-2.00218
1.8274063,9.800241
4.1551394,0.9269167
-9.182517,2.12951
-0.1798416,2.144349
7.193332,4.431794
-6.4371066,2.148836
-3.9449022,4.7355967
-3.3003201,-6.061802
-6.944438,-3.8411064
-5.1659946,7.976571
7.318877,0.88705057
-1.165638,-2.253469
-2.9364784,2.596067
-9.396206,5.623186
0.6350009,3.0927708
-3.2936337,-2.1895506
1.815577,4.5556254
4.015147,10.665849
-2.8689628,2.9658077
-1.0159943,-2.8840368
-4.5880876,-1.5700654
1.7048223,4.1987853
4.1400847,3.461868
1.4210142,-4.875331
3.9971433,7.0998855
-0.8663132,6.953699
0.91929615,-5.7816396
-3.452058,-7.9468017
-0.93113554,-6.0027747
4.502941,-10.086975
7.0625353,4.493
9.891831,1.5470423
2.2687182,8.038671
2.5589366,8.051877
-5.4742975,1.9352663
-3.182049,7.5949397
6.106083,7.737046
1.0214975,5.9238176
-8.809431,-3.787979
-9.748463,-3.4997425
1.9071437,1.8215572
2.2572222,-11.149189
-3.107224,-0.50820756
1.4633979,-7.4295983
8.022662,4.924435
-8.290987,-1.4941868
-6.7789536,3.8006244
5.597016,-4.239627
0.11896783,10.356719
-0.02657142,-3.3134923
3.572334,8.488614
5.421788,-0.61096686
4.9914365,5.6177635
-2.6383,6.931775
10.169248,-1.5570267
4.986852,0.1405538
2.5110755,-7.783935
-9.2235985,4.1333117
2.062825,-11.254116
-7.995122,3.5611658
6.3037333,7.63945
7.0683813,7.4982686
-7.915745,0.9692404
1.163454,8.984725
4.516787,9.67132
-2.7967072,2.3942754
2.2448268,3.8524168
0.5248609,9.655222
4.0187483,4.4289837
-0.40473706,-7.5028934
1.404752,10.153463
5.1695538,-4.454975
-0.8755732,-2.6451442
7.6609764,6.466601
2.3854723,-0.21442653
3.8869839,11.076123
2.7515795,2.4272392
-4.0095496,-3.357181
-5.4271326,1.0970834
3.019573,7.856817
8.31947,5.428139
-4.5331483,0.48832816
-4.859816,-0.531679
-0.27730504,-3.0421855
3.6945186,-1.024396
5.0575466,8.32395
7.45953,3.4730594
9.725962,-4.3945885
4.070255,10.530363
9.485372,-2.0176687
0.24247672,-5.815968
-9.610867,-0.29090726
7.7686143,7.4620814
-9.205486,-4.4108243
-7.560586,4.845362
-4.7494297,2.5589328
4.8996277,-3.400679
-3.3200376,-3.4450772
0.5061798,-0.74090296
-4.718752,3.1323097
1.5510237,-7.406732
10.068976,2.5625682
4.7963705,-3.3363504
3.1772735,0.19934182
-2.772519,4.0654855
6.2307224,8.979556
-2.420423,-7.574499
-1.9004407,4.088972
6.264238,7.695632
-10.327769,-0.3228602
-5.694529,8.5735
9.98477,2.4519534
-0.8586788,-8.784802
7.2323356,0.68528175
3.000452,9.717483
-1.8803666,-1.1685481
6.9234533,-2.6868615
-6.5945773,2.8421082
4.788164,-1.8216981
-4.3000083,-2.0780811
-3.1986852,-6.063623
-5.8464174,-8.842422
0.913225,6.043043
-2.8340654,-0.63390875
5.7294006,5.4721117
9.816285,-2.9002335
9.703126,1.2745725
-4.358067,-0.08607837
-2.7620592,8.710959
0.21316336,-5.800354
-1.1546433,0.293996
7.4123573,-8.184239
0.28483868,6.563976
6.7036424,8.484296
-4.0755005,-10.841752
-7.6317577,6.971552
-1.171751,8.188501
2.220384,6.3646097
-1.2516823,-9.296466
1.5761658,8.168751
-2.8773837,0.11017823
-5.1907296,1.2160579
2.124632,1.7832482
-3.5013971,-6.201887
4.8558316,-2.247656
-1.8172241,-6.521906
0.41106594,6.5850153
8.073081,4.557664
5.275539,9.253144
3.9194877,3.2996235
-2.0841439,2.4811394
5.216159,4.759595
5.624167,9.046596
-5.9752674,-2.5506318
5.3217483,3.4945674
5.2682,1.0230983
-1.181311,-11.05434
4.628343,9.649313
1.3420103,-2.243324
7.5353537,0.20901659
3.5534384,2.8894978
-6.9622145,-3.1407743
6.389348,2.3135045
-0.009258183,6.402293
-2.642781,0.4250849
-0.83813995,-8.013349
-0.629603,-3.0543816
4.8112135,-9.902483
8.341271,5.7615504
-5.4183292,-1.5329309
7.4552484,3.154488
-1.8005654,-10.021849
5.3124566,1.5149623
3.6960976,-5.4049044
2.55891,9.464309
6.369022,6.712695
-5.770788,5.863001
4.4483333,-3.9383354
-0.2677766,-5.476515
9.963712,0.5303269
-4.8836465,3.245839
-0.5574795,-10.409523
-4.546353,-0.70443875
4.626645,3.5883594
5.719453,5.6798253
-8.493201,2.2837756
-3.3522816,0.23536262
8.1598,4.2581725
8.260377,5.7547903
4.929671,9.389059
-1.6520349,-6.2012634
5.9675293,7.6998367
7.33661,1.884486
3.7235951,3.238778
-4.4464545,-0.6515238
7.425431,7.0840635
10.437773,3.9724374
-4.978168,5.3892226
9.09229,-2.2735932
3.953015,10.86295
2.7326405,9.710072
-4.416438,-10.679192
-5.3874984,-2.366439
8.16157,-3.4729211
5.098651,-0.6620281
5.056052,6.16886
3.8207045,-3.1123996
-0.94266444,-1.7560298
7.2807364,1.369917
-7.883199,-5.9175816
-0.9884919,10.4031315
-8.049088,-0.7094932
0.24852455,2.7287693
1.7432281,-9.818357
-4.8109655,3.3991811
11.051927,1.4577122
-3.9262888,4.8373876
-4.542909,0.5068025
-6.411143,7.0532737
6.52156,-5.09711
10.41854,4.124646
-6.2845874,3.6542346
-2.3434083,6.3884096
2.8405058,2.420294
9.666286,-0.77417004
-5.2675643,3.7305212
6.0766344,4.248087
-2.7198944,6.2861543
-1.0488008,-1.8251264
-0.9184181,8.979664
10.127029,-3.473978
8.911919,-1.6612455
9.459884,-5.633486
-7.238201,1.4172775
9.769472,0.9639516
5.9032435,3.1934764
-10.232633,4.1892576
-6.3466,2.825903
-9.765279,5.1926064
-1.5383248,5.1125736
2.065095,1.5509858
4.785596,-5.882605
-4.4677105,6.7765694
1.107722,7.32549
-2.6143684,6.7314677
-4.4176764,-0.010360608
-5.647392,8.783428
6.134747,-5.980396
4.730836,10.478261
2.8358378,3.2332232
-9.409561,5.421592
10.317526,0.68748933
-8.226009,0.51826656
10.006471,-0.5448097
6.7180753,1.6666994
9.950213,2.7254372
-5.3236256,9.746933
-2.9688754,6.8931894
-4.34969,-10.736778
10.760754,2.9740832
2.992429,-10.730117
3.6178803,-0.7893304
-9.142757,1.4621841
4.1044116,10.244591
-6.392439,-2.4448652
-3.6674469,-1.8835105
11.0585575,2.1331758
-0.8092435,-8.284375
3.5586011,2.9024324
5.0120277,0.1688731
2.607659,7.986777
6.780116,-8.390554
-4.515075,2.4249551
6.287896,3.511731
0.95475584,7.889919
-2.875882,-8.737683
8.509696,4.3727546
9.007782,-2.5306857
-2.6041274,8.798937
-7.144522,-6.968412
-9.378083,-2.8353767
-0.21841536,-1.8936666
-10.676329,2.3739758
-0.5741845,2.06929
3.6292002,9.593483
-10.109603,4.264486
6.8740587,-1.8240739
-6.648867,-3.9535668
4.980743,5.774374
-2.132197,7.837675
-1.131485,8.121376
10.038475,2.5035532
2.379193,6.286292
8.548385,4.3817015
6.398085,-2.1431556
-3.0807538,-7.3726344
6.185776,7.977523
5.1230974,-9.779247
-5.654901,-4.6113276
-10.555616,-0.3896247
0.14461155,8.000116
-10.079304,-3.2987082
-8.459565,5.9965205
-3.164217,-9.074166
10.808903,3.2833953
-5.677617,-7.4346657
-6.926633,-3.8192403
4.34533,9.482604
7.592585,-6.2144494
-0.65898436,-4.160931
-5.831356,-2.5062144
3.7896633,2.9334862
-2.500281,-5.825106
3.9382846,10.91939
-1.0164888,-4.653192
-4.814136,2.1992655
-2.109201,0.29884198
-1.3126715,2.7148495
-2.530622,6.2664633
1.757717,3.5461762
3.9626813,-1.3940488
5.099068,-2.8311214
0.14756241,6.4093294
8.575221,2.126358
-2.4842942,0.48945957
-9.114341,-2.4359055
-5.8689127,6.078212
0.5126348,-6.102495
-5.954814,-0.06419562
8.8273115,1.714264
-4.16245,5.8479443
5.9115725,-2.3808887
5.949788,9.12085
-0.0346786,7.35756
6.8144054,5.153485
0.85006833,-9.123757
2.131862,4.1630597
-0.6773163,-1.5426791
-10.787362,2.3361952
7.0023775,7.484668
1.8414792,4.5585685
-1.1721334,1.2540154
-5.4539614,1.1016235
-8.488386,-2.0282671
-2.122021,9.316881
-1.2666026,8.490096
-2.3967814,6.5181937
1.4363185,8.054155
-4.5743694,-6.268994
-4.800249,3.3334358
-7.9789104,-5.8919773
-1.325108,8.7029915
1.677149,4.001984
5.5044065,4.51733
-10.410561,-4.2240477
3.147326,3.933236
-1.5818863,-10.266797
-0.09750734,10.018334
-7.5249977,0.93475765
0.9162466,-4.357725
3.3350785,3.3866858
1.1060897,5.941987
6.6735168,-0.47931117
-0.59245527,-6.0466022
-10.391872,-4.3577323
3.5594413,-9.906451
2.9350624,2.3213117
4.02312,4.078858
4.412124,5.222612
2.9462395,9.502005
-0.24977349,2.07016
5.4705615,-8.486314
7.877166,-3.977528
0.6697531,-1.8791399
-2.742361,-3.9558802
9.854987,2.992529
4.3903627,2.4714854
7.940208,1.3443074
4.042268,-1.3325053
4.6392703,-2.4673307
-10.47683,-4.292117
-3.459149,9.056498
4.9315,0.7275639
6.9123144,-3.6635673
6.2925816,6.8920054
-2.755482,-8.242134
0.7612434,10.261624
-6.174388,5.909691
6.3532367,0.63970625
