feature1,feature2
-1.604696,-7.180289
-14.370656,2.7637281
2.463541,3.2904544
-1.522849,3.3531537
5.03898,-3.7809098
13.41053,3.5783353
3.5512087,-4.157571
6.984594,1.5760411
2.735901,-1.716934
4.689283,-3.8581512
2.3798301,0.7814403
8.773614,4.401263
9.743302,3.121348
-6.577963,-0.34890947
-3.0322475,1.9664685
-10.456591,-0.41200855
3.652714,-10.709971
6.050685,3.702584
4.037427,-3.0668697
2.8905256,-3.4768617
5.362179,10.112221
7.6498313,-8.109346
4.5874205,12.500157
-7.12797,3.3951857
2.7558274,-6.9697256
-4.240637,4.9890604
1.3642792,-7.5065875
0.033919256,10.026372
-0.715533,-11.346716
3.7930913,12.438702
4.4565754,6.7809052
-6.1541333,9.814863
0.8145958,-0.54278666
4.725652,-3.1001863
-4.812411,-5.470143
-12.618186,5.366376
3.6393692,10.991345
-7.300455,8.945499
-5.0058584,10.697919
-14.622843,-2.9935262
3.638877,8.521572
0.5025093,3.495975
-9.745529,-3.3151188
7.611185,5.6955357
-3.8657389,-2.0406067
13.028036,0.9237824
-3.2508655,7.7882795
0.78035414,11.602425
9.169561,4.8677278
-6.657603,-2.154757
-2.2440648,8.593612
11.553651,6.0150375
-6.3041043,1.1599854
-4.0820255,0.9821986
0.5061645,2.8392189
-1.1166674,3.4127495
-15.3980465,-1.7499448
-2.5155215,1.3908255
5.799424,1.7649477
-9.454671,-5.1735606
-7.4547515,-2.7067842
5.410763,3.1064768
2.8264418,2.3408916
-3.6694727,1.1247007
4.592422,12.966567
-14.324885,-3.5763302
6.299617,2.165743
8.132583,0.024947066
5.9759583,3.9076006
2.4416466,2.8774166
3.6130626,-5.4324913
-4.292276,-5.2443476
-6.37362,10.099441
7.5426393,-3.798745
-10.750002,-6.4202952
7.135395,-3.5666733
3.9977157,-9.271456
5.907056,9.172255
3.2864957,-1.3268926
1.6625547,11.470948
3.4261646,12.3404665
-4.4382696,4.22832
-10.54286,5.777471
5.9769187,10.389097
0.8617787,10.644535
-4.7808642,4.759592
-4.6166005,-4.878514
2.0978234,2.7612581
-2.6485033,-11.710123
-2.8775437,-5.1341777
7.0686717,-10.2589035
10.788067,6.045262
-13.975951,-3.190555
-3.5312648,9.325464
6.8966093,-6.37927
-12.129707,4.675402
1.1538436,6.0638223
4.846812,12.768538
11.819191,-2.4274457
3.4551494,11.742237
-10.690275,5.70661
10.735881,-0.8557927
8.161373,1.2355396
9.421527,-7.3419576
-7.6520557,0.038725026
5.8691278,-11.661984
-7.287791,-0.15392113
5.0878425,12.1933155
6.180227,-4.6650305
-7.9537606,2.5281677
-12.033134,6.916814
4.0425987,3.542185
-11.6724825,-7.759146
8.0107355,5.7963023
-7.6760464,9.1013
7.5307803,5.8617353
2.4834769,-11.262711
-6.1692395,10.839444
4.672957,-6.730597
6.64962,2.6776521
9.832194,6.2015653
2.72758,6.500242
11.906307,7.812047
-3.140403,9.330255
5.1210833,1.0644678
-14.520689,-3.2100444
8.815248,7.178553
11.802154,5.9796968
2.5611124,3.3706412
-5.6209965,4.82811
6.366806,2.527079
4.2579837,6.5409837
-2.716678,1.874792
11.550092,4.959115
9.287058,-9.496889
5.336341,12.65795
13.512669,-1.332529
9.729207,-7.5060725
-4.5857587,-4.5513597
12.130769,6.936917
-3.2125182,5.3820214
-7.1675034,-0.18493824
-7.5878453,3.356238
6.5143905,2.044502
6.0202107,1.7242525
3.571353,-8.312237
-6.420052,2.6588674
1.0314431,-4.376961
5.8397818,8.407908
4.647026,-3.9317112
11.804713,0.071397014
-15.312467,-1.9305521
5.7458577,11.464654
4.0014315,-12.97536
-13.166632,0.4681916
4.918395,12.103382
-6.0498476,-3.9139721
-13.354697,1.4833995
14.42489,1.4859295
4.937725,-11.876813
9.676177,3.02201
-4.7497544,1.7574397
9.186608,-1.9810674
8.010293,-6.65984
-4.4193597,-0.162885
5.9136686,2.0478175
-3.3439922,7.167161
-0.15363918,-2.7730641
-2.069024,5.153077
5.4060535,-3.8624918
2.5675452,3.4064522
8.553796,6.803269
12.971121,-4.242906
11.216223,-1.3592516
2.4088662,3.2558465
-5.0224752,0.7564563
0.9044327,-2.533471
1.587505,6.4379187
3.0905068,-11.6454115
3.3279603,11.706236
11.883787,7.557959
-3.7182627,-11.65981
-4.207731,8.988044
1.1573989,11.100682
2.2192862,11.5632925
9.940556,-2.4276571
-0.027702777,10.749968
6.1274943,4.0507164
-6.6907444,1.2756798
0.93905246,1.0746818
5.2421103,-11.571289
2.8122442,5.7906055
7.184625,-3.5180554
0.24471979,8.223033
5.9658093,9.146516
11.72824,7.800571
6.182712,4.0536942
-2.621963,-4.086946
7.830003,6.227521
3.9716127,3.5505884
-2.1170754,-3.8855364
7.581186,5.926559
8.901536,5.6242375
-12.05888,-8.893786
11.331569,7.450181
7.179222,1.5540155
6.6560645,-5.277944
-2.902033,9.156649
-1.0926247,3.5913515
5.1954246,8.781321
-4.352978,1.6661216
0.03960596,6.3726673
-2.8862529,-2.2969022
5.011755,1.9485457
12.792733,0.819963
12.090005,5.026851
1.1978418,0.66826737
10.692997,5.5679655
-2.041441,-12.10013
12.141764,-0.36023968
-3.0448334,-8.959513
-4.320712,2.214223
8.322354,6.730604
-4.5262637,10.357665
4.3779607,-4.2342324
-0.15163404,-10.479685
3.5257323,-0.90468967
-6.5645995,2.7725606
1.6456249,-10.077383
-2.7051463,-5.112342
2.754497,7.7556796
5.492657,-3.9252234
-13.714045,-0.8552376
3.628784,3.1209028
5.4292045,8.59982
6.0722675,9.787034
5.156395,12.662468
6.287438,0.54430974
7.51963,6.156958
9.75411,3.8916492
2.2210855,3.3459044
1.2421987,-2.221027
4.6378007,10.920804
5.8697124,7.696973
-7.1498446,7.981198
11.441819,-1.3200871
12.801554,7.149711
-0.10178969,11.458904
-2.564485,-4.8069296
-3.9012294,4.945183
4.192755,-3.2830672
3.8413928,9.188295
8.514483,6.858321
-1.6300799,-0.44991568
5.6652656,0.40425864
