feature1,feature2
-4.480298,-3.5744216
-1.3499141,7.3549747
5.09369,2.795275
-3.6991737,-1.2583411
1.1298115,-2.6155457
10.712082,0.015360242
3.5213087,-3.7247305
-1.4972943,0.15431869
-5.498731,-6.114381
4.244399,-3.4711502
-4.522336,-3.7129567
5.7891483,-0.7072038
6.049807,-2.4046612
-5.7951417,3.6849287
2.962021,5.9229445
-6.7972965,-0.47085547
-3.6336362,-7.7419505
1.1756893,0.60380083
1.2141203,4.606722
1.0996733,4.6866274
8.707436,3.9788961
0.95143616,-6.6033916
5.7724366,7.0171466
-2.4320462,6.3328958
3.4089692,-4.8899193
-7.126009,6.2665796
2.7750912,-5.196003
2.6561801,8.370659
-0.020873455,-1.4214442
4.9298005,7.102914
5.6477733,-1.5160645
0.7107901,6.772718
4.1084256,1.7852919
1.2941955,4.8197637
-9.377412,1.4694111
2.0917528,9.177192
5.2697535,4.795008
0.40857092,7.992082
-3.7249365,2.5031393
-6.657151,2.342332
1.2441684,3.1189969
-2.733815,4.0301867
-9.474958,2.328716
6.468355,3.8501835
-6.9035854,-3.1427178
10.0084915,-1.9474359
-3.5705597,1.3864328
3.0456266,10.443876
3.5524812,0.42604923
-6.802524,5.796909
-4.7932587,-2.5217183
8.334651,2.9219975
-5.732936,4.0065866
1.4485728,5.9139633
-4.7766585,-4.630957
-3.8664603,-0.4659716
-2.4638135,7.981673
6.3630557,-2.4579601
0.50786096,-0.50156033
-7.2143416,-1.3760079
-6.0992665,8.6548
0.9767848,0.451883
-0.75378376,0.49848214
3.508333,4.1015744
4.649789,9.639764
-7.131776,-0.87411547
-0.78497374,-3.7382846
-1.9950653,-0.6143401
3.2976072,3.2835324
5.3744645,2.9842477
1.1445135,-3.7607229
0.20133743,4.612925
2.5723403,6.8785477
0.040717967,-4.643982
-8.744981,-4.0961704
-3.613992,-6.5840535
0.18672715,-10.709903
8.239315,2.9484022
10.17172,-4.2758307
5.3666296,7.316544
5.4006333,7.306532
-3.1470714,4.302179
-0.12592177,8.633451
8.6319065,5.2887936
3.333505,5.3419075
-9.6967945,0.86434823
-3.6715617,3.1279404
1.9366422,1.8097262
-2.636975,-11.036166
-6.9236193,-3.2341914
0.34508505,-6.8070908
8.482946,2.779644
-8.323008,3.2831228
-1.3919244,3.9000218
4.635119,-4.7553887
1.182849,10.630633
0.6865036,-2.127979
5.965967,7.5422873
5.127511,-1.2225472
6.0940914,5.1408534
0.18365157,7.8302727
8.130229,-4.660033
5.1991835,-0.71231323
0.6806323,-8.324216
-5.5624185,7.501786
-2.7515786,-11.113389
-5.537071,6.4719825
8.4064455,5.19583
10.489649,3.3813488
-5.6635766,4.5385976
2.4197838,8.045432
10.904304,1.8259847
-7.187851,-1.8389226
3.7040849,-0.40547562
2.559446,8.44997
5.7759175,1.7099
-2.3965645,-6.56113
3.764532,9.716845
3.7484798,-4.462969
0.20658413,-1.1292233
8.940043,4.4411774
2.9661055,0.63891345
11.06847,3.386689
3.951115,2.3420634
-1.759763,-0.63950294
-4.2363095,4.148391
3.2352803,7.0162163
9.361289,2.426272
-1.9933944,2.621481
-3.010615,2.5601435
0.51216793,-2.0139515
4.1567497,-0.26341683
8.497598,5.439361
7.804433,2.1943111
7.096455,-7.726303
10.478306,3.8815234
7.4193053,-3.4813066
-4.932315,-6.7027164
-3.8861344,3.3934066
10.084935,2.5257437
-10.44456,0.51249313
-4.8788395,7.3646817
-2.156955,4.9639616
4.3042064,-4.037003
-1.6172751,-1.0248083
-1.4024501,-7.323092
-1.9880427,5.2020855
0.17953077,-6.8239717
10.756294,-3.032577
4.255235,-3.5614214
2.6729462,-0.065578215
-6.851499,0.2806508
10.483266,2.2561674
-5.655473,-6.751525
-6.0698504,0.103961155
8.709904,4.848856
-9.34585,5.347787
-2.3478112,9.742202
10.618458,-4.0938115
-3.5549119,-7.44671
6.8143687,-1.7939317
4.1294026,9.863169
2.8964057,0.049294174
6.0856185,-4.187847
-4.3175936,5.404739
4.6224847,-1.8734739
-1.5690317,0.67574877
-4.6224465,-4.7620325
-9.318208,-4.2292166
2.8022957,6.362816
-0.37005076,1.8471601
7.7682457,4.8290625
7.9896145,-6.5548673
10.205307,-4.0312457
